"section","magic","repo","TOTAL(100%)","GRADE","q1","q2","q3:9/19/2011","q3","q4","q5","Q:11/15/2011","qBonus","Qs(10%)","m1s1","m1s2","m1s3","M1(10%)","m2a","m2b","m2c","M2(10%)","m3a","m3b","m3c","M3(10%)","m4a","m4b","m4c","M4(10%)","fin-a","fin-b","fin-c","FIN(30%)","Hws(20%)","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW Feedback","",""
"3cs","cs174","kmc","4.0","F","","","","","","","","4","4","","","","0","","","","0","","","","0","","","","0","","","","0","0","","","","","","","","""no repo inited"," no submissions""","",""
"1cs","cs174","kj5","14.8","F","0","1","","1","","","","4","6","","","7","8.75","","","","0","","","","0","","","","0","","","","0","0","0","0","0","0","0","0","0","","",""
"2cs","cs174","kjz","18.0","F","","1","","0","7","","","","8","8","","","8","","2","","2","","","","0","","","","0","","","","0","0","0","0","0","0","0","0","0","No Hws submitted","",""
"2cs","cs174","kjx","30.0","F","","1","1","","7","","","","9","8","","","8","","4","","4","","","9","9","","","","0","","","","0","0","0","0","0","0","0","0","0","No Hws submitted","",""
"1cs","cs174","kjh","35.6","F","","","1","1","","0","1","4","7","","","3","3.75","6","","","6","8","","","8","","8","","8","","","","0","2.8571428571","0","0","0","0","10","0","0","""Generously awarded 10 pts for HW5"," your only submission""","",""
"3cs","cs174","kmd","37.0","A(see note)","","","","1","0","","","4","5","","5","","5","","","","0","","6","","6","","","","0","","21","","21","0","","","","","","","","""no repo inited"," no submissions""","",""
"2cs","cs174","kk1","39.0","F","0","1","","0","7","","","","8","","5","","5","","3","","3","","","8","8","","","","0","","","15","15","0","0","0","0","0","0","0","0","No HWs submitted","",""
"1cs","cs174","kjp","40.9","A(see note)","1","1","1","1","0","0","1","4","8","","","7","8.75","6","","","6","7","","","7","","","","0","","","","0","11.1428571429","0","10","9","10","10","0","0","""HW3 -1pt css hover not working; HW4-choppy animation but OK.HW5- what is this variable $cow ??; HW1s 1","6","7 missing.""","",""
"1cs","cs174","kj7","41.0","D","0","1","0","0","0","0","1","4","6","","","4","5","5","","","5","3","","","3","","4","","4","18","","","18","0","","0","0","0","0","0","0","","",""
"3cs","cs174","km9","42.0","D","","","","","0","0","","4","4","","4","","4","","","4","4","","6","","6","","","6","6","","18","","18","0","0","0","0","0","0","0","0","Repo inited but no submissions","",""
"1cs","cs174","kjb","42.8","D","0","1","","1","0","0","1","4","7","","","7","8.75","5","","","5","5","","","5","","3","","3","14","","","14","0","0","0","0","0","0","0","0","no HW submissions","",""
"3se","cs174","kkz","44.0","D","0","1","0","1","","0","","4","6","","4","","4","","","4","4","","6","","6","","","5","5","","19","","19","0","0","0","0","0","0","0","0","""No repo inited"," no submissions""","",""
"1cs","cs174","kja","46.0","D","0","0","1","1","","0","","4","6","","","4","5","6","","","6","7","","","7","","6","","6","16","","","16","0","","0","0","0","0","0","0","no HW submissions","",""
"3cs","cs174","kmn","46.0","D","","0","","0","","0","","4","4","","5","","5","","","5","5","","8","","8","","","4","4","","20","","20","0","","","","","","","","""no repo inited"," no submissions""","",""
"2cs","cs174","kjv","52.0","C","","0","","0","7","","","","7","6","","","6","","","","0","","","5","5","5","","","5.5555555556","","","19","19","9.4285714286","0","10","9","5","9","0","0","""No HW1","6","7 submissions;HW3 -1pt csshover makes whole page jump;HW4 -5pts"," no explosion only simple scaling;HW5 -1pt for generating broken HTML""","",""
"3cs","cs174","kmt","53.9","C","","0","1","1","0","1","1","4","8","","5","","5","","","3","3","","8","","8","","","5","5","","20","","20","4.8571428571","0","0","0","8","9","","","""HW4 not an explosion per assignment reqts"," only does scaling no translations or rotations -2pts; HW5 looks like it generates broken HTML -1pt.""","",""
"1cs","cs174","kj4","54.4","C","0","","0","1","","0","","4","5","","","6","7.5","5","","","5","7","","","7","","5","","5","22","","","22","2.8571428571","10","0","0","0","0","0","0","Only HW1 submitted","",""
"3cs","cs174","km8","55.6","C","1","0","","","","","","4","4","","","6","7.5","","","","0","","","","0","","7","","7","20","","","20","17.1428571429","10","10","10","10","10","10","0","HW7 missing.","",""
"3cs","cs174","km3","57.0","C","","1","","1","0","0","","4","6","","6","","6","","","2","2","","9","","9","","","8","8","","18","","18","8","10","3","5","0","10","0","0","""HW2 has no unit tests does not supply .js files required -5pts;HW3 footer is broken only uses percentage not fixed-2pts"," hover notworking -3pts;HW4 shameless submission of class notes instead of HW requirements;HW6","7 missing""","",""
"2cs","cs174","kkj","58.0","C","","0","1","0","7","","","","8","6","","","6","","6","","6","","","8","8","5","","","5.5555555556","","","17","17","7.4285714286","0","10","8","0","5","2","1","""HW3 footer not working -2pts;HW4 not working and looks like copy of what was shown in class; HW4 looks incomplete e.g."," missing login.html -5pts;HW6 populate script is instering key names as values??  All PHP files are empty +2pts for working dbsetup script; HW7 missing login.html"," missing javascript code"," does not do server push +1pts for submiting something.""","",""
"1cs","cs174","kj3","58.8","C","","1","0","1","","0","1","4","7","","","7","8.75","8","","","8","7","","","7","","7","","7","21","","","21","0","0","0","0","0","0","0","0","no HW submissions","",""
"2cs","cs174","kkg","61.6","B","","0","1","0","7","","","","8","7","","","7","","4","","4","","","9","9","5","","","5.5555555556","","","18","18","10","10","0","8","7","10","0","0","""HW 3 no css hover -2pts.;HW4 no rotations","only scaling.;HW2","6","7 not submitted.""","",""
"2cs","cs174","kkb","62.6","B","","1","0","1","7","","","","9","8","","","8","","6","","6","","","8","8","5","","","5.5555555556","","","26","26","0","0","0","0","0","0","0","0","""Repo inited"," but no HW submissions""","",""
"3cs","cs174","kmj","62.9","B","","","0","0","7","","","","7","6","","","6","","4","","4","","","6","6","4","","","4.4444444444","","","20","20","15.4285714286","10","10","6","10","10","0","8","""HW3 no css hover -2"," footer not working -2; HW5 didn't use fgetcsv"," but OK; HW6 missing; HW7 does simple polling not server push -2""","",""
"3cs","cs174","km5","63.0","B","1","1","1","1","1","1","","4","9","","5","","5","","","9","9","","6","","6","","","8","8","","26","","26","0","0","0","0","0","0","0","0","""No repo inited"," no submissions""","",""
"1se","cs174","kjm","63.7","B","0","1","0","1","0","0","1","4","7","","","4","5","5","","","5","9","","","9","","5","","5","23","","","23","9.7142857143","0","5","9","10","10","0","0","""HW2 -5pts no tests; HW3 -1 for whole page jumping on css hover;HW4 nice job;hw's 1"," 6 and 7 missing""","",""
"3cs","cs174","kmk","64.0","B","","1","","","0","","","4","5","","9","","9","","","7","7","","6","","6","","","8","8","","25","","25","4","10","4","0","0","0","0","0","HW1 is committed as both a zip file and exploded directory; HW2 is a zipfile containing no tests and does not have .js files required for this submission ; HW3-7 missing","",""
"3cs","cs174","kky","64.3","B","","","","","0","0","1","4","5","","8","","8","","","7","7","","8","","8","","","8","8","","16","","16","12.2857142857","10","5","8","10","10","0","0","""HW2 has no unit tests does not supply .js files required -5pts;HW3 whole page text moves on hover -2pts;HW6","7 missing""","",""
"3cs","cs174","kmm","64.4","B","","","0","","7","","","","7","6","","","6","","5","","5","","","8","8","6","","","6.6666666667","","","22","22","9.7142857143","6","10","6","8","4","0","0","""HW1 directory is very disorganized"," none of the test perform test.done()"," so problems...-4pts.;HW3 has no css hover -2pts","also footer isn't working -2pts;HW4 does'nt explote -2pts;HW5 does not read data from file"," instead hardcoded php file produces a static HTML document BOO.;HW6","7 missing""","",""
"3cs","cs174","km6","65.6","B","1","","1","1","","","1","4","7","","7","","7","","","3","3","","8","","8","","","8","8","","20","","20","12.5714285714","10","3","8","10","8","5","0","HW2 has no unit tests does not supply .js files required -5pts;HW3  hover notworking -2pts;HW5 encodes but does not decode JSON string -2pts;HW6 is an incomplete submission missing script files and appears to be missing some php files. -5pts; no HW7 submission","",""
"1cs","cs174","kj9","65.6","B","0","0","1","","0","0","","4","5","","","7","8.75","6","","","6","9","","","9","","8","","8","24","","","24","4.8571428571","3","0","2","1","10","1","0","""HW2","7 missing; HW1 -5 no 4.10 solution"," -2 test.done not called; HW2 missing; HW3-5  shamelessly copied"," -2 doesn't use hover and -1 has no HTML content; HW4 just copies what was done in class; hw6 gets 1pt for 2 line script file"," the only submission.""","",""
"3cs","cs174","kma","66.7","B","","1","","1","","","1","4","7","","","5","6.25","6","","","6","10","","","10","","7","","7","25","","","25","5.4285714286","9","10","0","0","0","0","0","""HW1 -1 since range tests should be in separate module;HW3 has 2 empty files .html and .css;hw4","5","6","7 missing""","",""
"2cs","cs174","kkc","66.9","B","","1","","0","7","","","","8","7","","","7","","5","","5","","","7","7","8","","","8.8888888889","","","17","17","14","10","5","8","7","10","9","0","HW2 has no tests implemented -5pts.;HW3 footer isn't fixed! -2pts;HW4-problems with onclick and animation -3pts.;HW6 -1pt dbpopulate does nothing.;HW7 shamelessly  uses class presetations doesn't solve HW reqt's","",""
"1cs","cs174","kjn","67.7","B","1","1","0","0","1","0","1","4","7","","","4","5","8","","","8","7","","","7","","3","","3","28","","","28","9.7142857143","8","10","10","6","0","0","0","""HW1 only tests array lengths not values??"," HW4 isn't sjsu logo and only rotates w/o explosion;HW5 is just copy of class notes no assigment...""","",""
"2se","cs174","kk2","68.0","B","","1","1","","7","","","","9","8","","","8","","7","","7","","","8","8","9","","","10","","","26","26","0","0","0","0","0","0","0","0","""Repo inited"," but no HW submissions""","",""
"1cs","cs174","kjf","68.5","B","0","1","1","1","1","0","1","4","9","","","7","8.75","7","","","7","6","","","6","","7","","7","21","","","21","9.7142857143","10","10","9","5","0","0","0","""HW3 csshover makes whole page jump -1 ; HW4-infinite loop Javascript hangs browser; HW5-has random PHP code"," no assignment solution-no points; HW6","7 missing.""","",""
"3se","cs174","kmh","69.2","B","","","1","0","7","","","","8","6","","","6","","5","","5","","","2","2","7","","","7.7777777778","","","21","21","19.4285714286","10","10","10","10","10","10","8","""HW4 eventually  hangs browser"," but OK; HW7 does polling but not server push""","",""
"3cs","cs174","km0","69.7","B","","","1","1","0","0","1","4","7","2","7","","9","","","5","5","","6","","6","","","6","6","","21","","21","15.7142857143","10","10","10","10","10","5","0","","",""
"3se","cs174","kme","70.3","A","","0","0","1","","","","4","5","9","","","9","","4","","4","","","6","6","7","","","7.7777777778","","","22","22","16.5714285714","10","10","8","8","10","10","2","""HW3 css hover makes text jump around -2;hw4 collab comment bad xml syntax -2pts;hw6 ok;HW7-seems like a good start","but you've commented out with FIXME so nothing works.""","",""
"2cs","cs174","kjw","71.0","A","","0","0","","7","","","","7","6","","","6","","5","","5","","","6","6","8","","","8.8888888889","","","23","23","15.1428571429","10","10","9","5","9","10","0","""HW 7 missing;HW3 -1pt csshover makes whole page jump;HW4 -5pts"," no explosion only simple scaling;HW5 -1pt for generating broken HTML""","",""
"2cs","cs174","kkk","72.3","A","","0","0","1","7","","","","8","10","","","10","","3","","3","","","5","5","8","","","8.8888888889","","","22","22","15.4285714286","5","5","10","8","10","10","6","HW1 doesn't appear to use node unit for tests -5pts; HW2 doesn't use nodeunit -5pts;HW4 doesn't respond to onclick() -2pts;HW7 doesn't poll or use server push -4pts","",""
"2se","cs174","kk6","72.3","A","","0","0","0","7","","","","7","7","","","7","","6","","6","","","6","6","7","","","7.7777777778","","","22","22","16.5714285714","0","10","8","10","10","10","10","HW1 missing; HW3 -2pts footer appears in middle of page Hmmm..;","","added 1pt midterm 2"
"2cs","cs174","kkh","72.5","A","","1","0","1","7","","","","9","7","","","7","","6","","6","","","8","8","7","","","7.7777777778","","","25","25","9.7142857143","10","0","6","8","10","0","0","""Missing Hws 2","6","7; HW3 has no css hover"," footer is not working-4pts; HW4 needs to activate via onclick() -2pts.""","",""
"3cs","cs174","kmp","72.6","A","","0","0","1","0","1","1","4","7","","8","","8","","","7","7","","7","","7","","","9","9","","26","","26","8.5714285714","10","0","8","0","10","2","0","HW2 test.js file contains only the word ""meow"";HW3 doesn't have footer -2pts;HW4 is a shameless copy of work done in class - no points; HW6 is an incomplete work 2pts awarded for getting past login page;HW7 not submitted","",""
"2cs","cs174","kjy","73.4","A","","0","1","1","7","","","","9","10","","","10","","6","","6","","","6","6","5","","","5.5555555556","","","24","24","12.8571428571","10","10","7","8","10","0","0","""HW2 has issues with using globals;HW3 doesn't use csshover -3;HW4 doesn't do explosion"," only rotation scaling -2pts;missing HW6","7""","",""
"3se","cs174","km4","73.6","A","","0","0","0","7","","","","7","9","","","9","","5","","5","","","8","8","8","","","8.8888888889","","","26","26","9.7142857143","10","10","6","6","2","0","0","""HW3 no css hover -2"," footer not working -2; HW4 doesn't explode although theres some JS code -2; no onclick() handler -2;HW5 is incomplete 2pts for submitting something;HW6","7 missing""","",""
"3cs","cs174","kmq","73.9","A","","","1","0","7","","","","8","7","","","7","","5","","5","","","7","7","7","","","7.7777777778","","","26","26","13.1428571429","0","10","8","8","10","10","0","""HW1","7 both missing-not sure what doubled is??;HW3 css hover makes whole page jump-2pts; HW4 needs to start animation onclick() but requires multiple clicks...-2pts; ""","",""
"1cs","cs174","kj1","74.4","A","0","0","0","1","0","0","1","4","6","","","5","6.25","7","","","7","6","","","6","","9","","9","23","","","23","17.1428571429","10","10","10","10","10","10","0","hw7 is just copy of johnny's notes.","",""
"3cs","cs174","kmb","74.5","A","","1","","","","0","","4","5","","","6","7.5","6","","","6","7","","","7","","7","","7","22","","","22","20","10","10","10","10","10","10","10","HW3 v.nice halloween display with csshover well controlled;Hw4 interesting animation effect but shouldn't activate until onclick;","",""
"1cs","cs174","kj2","74.9","A","","0","1","1","0","0","1","4","7","6","","","6","4","","","4","3","","","3","9","","","10","","","26","26","18.8571428571","10","10","8","8","10","10","10","""HW3 footer is broken"," but maybe said this was OK"," so no pts deducted"," -2pt for jumping text on css hover.;HW4 not quite explosion"," but OK.;HW7uses 3rd party lib. But ok since hw writeup didn't say otherwise.""","",""
"3se","cs174","kmg","75.0","A","0","1","0","1","","0","1","4","7","","5","","5","","","6","6","","9","","9","","","7","7","","25","","25","16","10","10","6","10","10","10","0","HW3 css hover makes text jump around -2 also footer is broken -2pts;missing HW7 submission","",""
"3cs","cs174","km2","75.4","A","1","1","0","1","1","","1","4","8","","6","","6","","","6","6","","7","","7","","","10","10","","23","","23","15.4285714286","10","10","6","10","8","10","0","HW3 hover doesnt change text -2pts footer does'nt work -2pts;HW5 doesn't validate magic string -2pts;HW7 missing","",""
"3cs","cs174","km7","75.6","A","","1","0","1","0","0","1","4","7","","9","","9","","","7","7","","9","","9","","","8","8","","23","","23","12.5714285714","10","5","10","6","8","5","0","""HW6 is an incomplete submission missing script files and appears to be missing some php files. -5pts; no HW7 submission;HW5 only displays last student","doesn't validate correctly -2pts; HW2 required submittinghw2/test/testletters.js"," hw2/test/testword.js but this doesn't have any tests"," seems the student comments out print stmts and still hasn't learned how to use a testing framework -5pts;HW3 should take off points for broken hover"," but egg tart recommendations suffice instead;HW4 seems it would work except you set fill to none on click so it dissappears -4pts;""","",""
"3cs","cs174","km1","75.9","A","","1","","","","","","4","5","","","8","10","8","","","8","10","","","10","","7","","7","27","","","27","8.8571428571","10","3","8","10","0","0","0","""HW2 doesn't test letters -2pts implementation of word"," letters is incomplete -5pts;HW3 doesn't use hover style in HTML -2pts;HW5 no login.html and php has no possibly of working;HW6","7 missing""","",""
"1cs","cs174","kjd","76.7","A","","","1","1","","0","","4","6","","","4","5","7","","","7","8","","","8","","8","","8","27","","","27","15.7142857143","9","9","9","8","10","10","0","HW1 -1 b/c range fn should be in separate module; HW2 -1 same;HW3 nice job but -1 for missing footer; HW4 -2 invalid settimeout call; HW7 missing","",""
"2cs","cs174","kk8","77.2","A","","0","0","0","7","","","","7","5","","","5","","5","","5","","","9","9","7","","","7.7777777778","","","24","24","19.4285714286","10","10","10","10","10","10","8","HW4 no quite an explosion but ok;HW7 does simple polling not server push -2;","",""
"2cs","cs174","kkn","77.7","A","","1","","0","7","","","","8","9","","","9","","5","","5","","","6","6","8","","","8.8888888889","","","22","22","18.8571428571","10","10","8","10","10","10","8","HW3 css hover jumps whole page - ouch -2pts.; HW7 just does simple polling. No server push. -2pts.","",""
"1cs","cs174","kjj","78.2","A","","1","1","1","1","0","1","4","9","","","7","8.75","7","","","7","8","","","8","","10","","10","24","","","24","11.4285714286","10","10","10","10","0","0","0","""Hws5","6","7 missing""","",""
"2cs","cs174","kkf","78.6","A","","1","0","1","7","","","","9","7","","","7","","6","","6","","","6","6","9","","","10","","","24","24","16.5714285714","10","10","10","8","10","10","0","HW4 -1pt should activate onclick -1pt no rotation of different speeds; HW7 missing","",""
"1cs","cs174","kj6","78.7","A","0","0","","","","0","1","4","5","","","4","5","8","","","8","8","","","8","","8","","8","25","","","25","19.7142857143","10","10","10","9","10","10","10","""Hw4 - looks like not an explosion but simple rotation; HW7 looks like has issues"," but good effort""","",""
"1cs","cs174","kjg","78.8","A","0","1","1","1","0","0","1","4","8","","","3","3.75","7","","","7","6","","","6","","9","","9","25","","","25","20","10","10","10","10","10","10","10","Note-used CS49j repo instead.","",""
"3cs","cs174","kmr","78.9","A","","0","1","1","0","1","","4","7","","9","","9","","","8","8","","9","","9","","","8","8","","21","","21","16.8571428571","10","10","9","10","10","10","0","HW3-Nice piano but no footer -1pt.;HW7 is not here.","",""
"3cs","cs174","kms","79.5","A","","","","","7","","","","7","8","","","8","","6","","6","","","8","8","7","","","7.7777777778","","","25","25","17.7142857143","10","10","8","9","10","10","5","""HW3 css hover makes whole page jump -2; HW4 initial logo looks different -1pt;HW5 seems login.html is broken but everything else OK Hmmm?; HW7 uses DB"," but wasn't required"," does not do longpolling serever push or even simple polling -5pts.""","",""
"1cs","cs174","kj8","79.6","A","0","1","0","1","0","0","1","4","7","","","6","7.5","7","","","7","7","","","7","","7","","7","27","","","27","17.1428571429","10","10","10","10","10","10","0","HW1- nice job on tests;","",""
"3se","cs174","kmf","80.0","A","","1","1","1","0","0","1","4","8","","8","","8","","","9","9","","8","","8","","","8","8","","27","","27","12","10","10","6","8","8","0","0","""HW3 css hover not working -2pts","footer is broken -2pts;hw4 didn't explode only translated.-2pts;HW5 encodes but doesn't decode JSON data;no HW6","7 submissions""","",""
"2cs","cs174","kke","80.1","A","","1","1","1","7","","","","10","8","","","8","","5","","5","","","8","8","7","","","7.7777777778","","","23","23","18.2857142857","9","10","10","8","10","10","7","""HW1 uses globals instead of exports -1 pt.;hw4 is not html or svg"," doesn'tt do explosion changing scale etc as required by hw writeup;HW7 fails to load in FF"," otherwise some effort in coding..-3pts.""","",""
"2cs","cs174","kka","80.2","A","","1","0","1","7","","","","9","7","","","7","","4","","4","","","6","6","7","","","7.7777777778","","","27","27","19.4285714286","10","10","8","10","10","10","10","HW3 footer moves! -2pts.;","",""
"2cs","cs174","kkm","80.7","A","","1","1","0","7","","","","9","4","","","4","","5","","5","","","8","8","8","","","8.8888888889","","","27","27","18.8571428571","10","10","8","10","10","10","8","HW3 footer not working -2pts; HW4 nice job; HW7 just uses simple polling no server push -2pts.","",""
"2se","cs174","kk7","81.0","A","","1","1","0","7","","","","9","6","","","6","","4","","4","","","8","8","9","","","10","","","24","24","20","10","10","10","10","10","10","10","""HW3 gee","gratuitous animations.""","",""
"2se","cs174","kkd","81.3","A","","0","1","1","7","","","","9","9","","","9","","6","","6","","","8","8","8","","","8.8888888889","","","21","21","19.4285714286","10","10","10","10","10","10","8","HW7 looks like straight polling not server push -2 pts.","",""
"1cs","cs174","kje","81.9","A","1","1","1","0","0","0","1","4","7","","","6","7.5","8","","","8","7","","","7","","7","","7","26","","","26","19.4285714286","10","10","10","10","10","10","8","""HW3:excellent job"," well designed layout; HW4:nice explosion.;HW7 has hardcoded users??? also jQuery change is only client-side doesn't do server-push -2pts.""","",""
"1cs","cs174","kj0","82.1","A","0","0","1","1","0","0","1","4","7","","","4","5","7","","","7","10","","","10","","8","","8","28","","","28","17.1428571429","10","10","10","10","10","10","0","","",""
"2cs","cs174","kk3","83.4","A","","1","1","1","7","","","","10","7","","","7","","7","","7","","","5","5","9","","","10","","","25","25","19.4285714286","10","10","10","10","10","10","8","HW7 looks like straight polling not server push -2 pts.","",""
"2cs","cs174","kk0","83.8","A","","1","0","","7","","","","8","9","","","9","","4","","4","","","8","8","7","","","7.7777777778","","","27","27","20","10","10","10","10","10","10","10","""Nice job on HW3;Nice gravity effects with HW4"," but crashes browser with too much JS activity;Nice job on longpolling with node.js!""","",""
"2cs","cs174","kk5","85.3","A","","","1","1","7","","","","9","10","","","10","","7","","7","","","8","8","8","","","8.8888888889","","","23","23","19.4285714286","10","10","8","10","10","10","10","""HW2/hw3.txt presume is hw2.txt notes; HW3 has no footer -2pts."," looks suspiciously like another students' submission??""","",""
"1cs","cs174","kjc","85.6","A","0","1","1","0","1","0","1","4","8","","","8","10","6","","","6","9","","","9","","8","","8","26","","","26","18.5714285714","10","10","10","10","10","10","5","""HW1-6 are v. nice jobs; HW7 however","does neither polling nor server push. Hmm.-5pts.""","",""
"1cs","cs174","kjk","87.0","A","1","1","1","1","0","0","1","4","8","","","8","10","8","","","8","8","","","8","","7","","7","28","","","28","18","10","10","9","9","10","10","5","HW1 tests ok; HW3 -1pt csshover makes whole page jump;HW4 -1 pt hangs browser but otherwise code looks clean;HW7 fails to use polling nor server push","",""
"2cs","cs174","kk9","87.6","A","","0","1","1","7","","","","9","9","","","9","","6","","6","","","10","10","7","","","7.7777777778","","","27","27","18.8571428571","10","10","10","8","10","10","8","HW1 used zipfile-ouch.;HW3-interesting project; HW4 malformed XML due to collab comment in C syntax -2pts.;HW7 uses simple polling not server push","",""
"2se","cs174","kk4","89.4","A","","1","1","1","7","","","","10","10","","","10","","8","","8","","","7","7","9","","","10","","","25","25","19.4285714286","10","10","8","10","10","10","10","""HW3 missing footer -2pts;HW4 was supposed to trigger onclick"," but too nice job to deduct pts""","",""
"","","$MIN","0","F","","0","0","0","0","0","0","0","0","","","","0","","","","0","","","","0","","","","0","","","","0","0","0","0","0","0","0","0","0","","",""
"","","$MAX","100","A","","1","1","1","1","1","1","4","10","","","","10","","","","10","","","","10","","","","10","","","","30","20","10","10","10","10","10","10","10","","",""
"","","$A","70","A","","0.7","0.7","0.7","0.7","0.7","0.7","2.8","7","","","","7","","","","7","","","","7","","","","7","","","","21","14","7","7","7","7","7","7","7","","",""
"","","$B","60","B","","0.6","0.6","0.6","0.6","0.6","0.6","2.4","6","","","","6","","","","6","","","","6","","","","6","","","","18","12","6","6","6","6","6","6","6","","",""
"","","$C","50","C","","0.5","0.5","0.5","0.5","0.5","0.5","2","5","","","","5","","","","5","","","","5","","","","5","","","","15","10","5","5","5","5","5","5","5","","",""
"","","$D","40","D","","0.4","0.4","0.4","0.4","0.4","0.4","1.6","4","","","","4","","","","4","","","","4","","","","4","","","","12","8","4","4","4","4","4","4","4","","",""
